Document,Sentence,Trigger,Multiclass
20170814_02E227_Prospectus_SD000000002367167139.pdf,"During the continuance of a Cash Sweep Period or an event of default, all excess cash flow (after payment of all debt service, required reserves and operating expenses) will be deposited to an excess cash flow reserve account.",Loan default,0
20170814_02E227_Prospectus_SD000000002367167139.pdf,"“Cash Sweep Period” means each period (a) that commences when the debt yield or the aggregate debt yield, determined as of the last day of the calendar quarter, is less than 11.49% until the debt yield, determined as of the last day of the calendar quarter, is equal to or greater than 11.49% and (b) commencing 10 business days following the borrower’s receipt of written notice of its failure to deliver financial reports to the lender and ending when such reports are delivered and they indicate that no other cash sweep period is ongoing.",Debt yield fall,1
20170814_02E227_Prospectus_SD000000002367167139.pdf,"“Cash Sweep Period” means each period (a) that commences when the debt yield or the aggregate debt yield, determined as of the last day of the calendar quarter, is less than 11.49% until the debt yield, determined as of the last day of the calendar quarter, is equal to or greater than 11.49% and (b) commencing 10 business days following the borrower’s receipt of written notice of its failure to deliver financial reports to the lender and ending when such reports are delivered and they indicate that no other cash sweep period is ongoing.",Aggregate debt yield fall,1
20170814_02E227_Prospectus_SD000000002367167139.pdf,The Borrowers are permitted to cure or prevent any Cash Sweep Period by prepaying the Mortgage Loan together with any applicable spread maintenance fee that may be required.,Unspecified,0
20170814_02E227_Prospectus_SD000000002367167139.pdf,"On each monthly payment date, the Borrowers are required to fund ongoing reserves for: during the continuation of a Cash Sweep Period, taxes and insurance premiums in amounts equal to the sum of (a) 1/12 of projected annual taxes, and (b) unless covered under a blanket policy, 1/12 of projected annual insurance premiums.",Unspecified,0
20170814_02E227_Prospectus_SD000000002367167139.pdf,"Notwithstanding the foregoing, so long as no event of default under the Mortgage Loan is continuing, the Borrowers will not be required to remit the portion of the Monthly FF&E Reserve Amount allocable to any Property if (i) an unaffiliated approved franchisor or unaffiliated approved property manager for such Property is maintaining a FF&E reserve for such Property that contains an amount no less than the amount required to be maintained in the FF&E Reserve Account that is allocable to such Property; and during the continuation of a Cash Sweep Period, provided no event of default under the Mortgage Loan is continuing, an excess cash reserve for all remaining excess cash flow amounts to be held as additional collateral.",Loan default,0
20170814_02E227_Prospectus_SD000000002367167139.pdf,"On each business day, the financial institution maintaining the Lockbox Account (Wells Fargo Bank, National Association and PNC Bank, National Association as of the Origination Date) is required to remit all funds on deposit in the Lockbox Account into (i) for so long as no Cash Sweep Period or event of default under the Mortgage Loan is continuing, the applicable Borrower operating account and (ii) during the continuance of a Cash Sweep Period or event of default under the Mortgage Loan, the lender’s cash management account.",Loan default,0
20170814_02E227_Prospectus_SD000000002367167139.pdf,"“Cash Sweep Period” means each period (a) that commences when the debt yield or the aggregate debt yield, determined as of the last day of the calendar quarter, is less than 11.49% until the debt yield , determined as of the last day of the calendar quarter, is equal to or greater than 11.49% and (b) commencing 10 business days following the borrower’s receipt of written notice of its failure to deliver financial reports to the lender and ending when such reports are delivered and they indicate that no other cash sweep period is ongoing.",Debt yield fall,1
20170814_02E227_Prospectus_SD000000002367167139.pdf,"“Cash Sweep Period” means each period (a) that commences when the debt yield or the aggregate debt yield, determined as of the last day of the calendar quarter, is less than 11.49% until the debt yield , determined as of the last day of the calendar quarter, is equal to or greater than 11.49% and (b) commencing 10 business days following the borrower’s receipt of written notice of its failure to deliver financial reports to the lender and ending when such reports are delivered and they indicate that no other cash sweep period is ongoing.",Aggregate debt yield fall,1
20170814_02E227_Prospectus_SD000000002367167139.pdf,The Borrowers are permitted to cure or prevent any Cash Sweep Period by prepaying the Mortgage Loan together with any applicable spread maintenance fee that may be required.,Unspecified,0
20170814_02E227_Prospectus_SD000000002367167139.pdf,"On each monthly payment date, the Borrowers are required to fund ongoing reserves for: during the continuation of a Cash Sweep Period, taxes and insurance premiums in amounts equal to the sum of (a) 1/12 of projected annual taxes, and (b) unless covered under a blanket policy, 1/12 of projected annual insurance premiums; an FF&E reserve account for reserving amounts in respect of furniture, fixtures and equipment at the Properties equal to the greater of (1) any amount required to be reserved for FF&E under any approved management or franchise agreement and (2) an amount equal to 1/12 of 5% of the operating income of the Portfolio during the immediately preceding 12-month period (the “Monthly FF&E Reserve Amount”).",Unspecified,0
20170814_02E227_Prospectus_SD000000002367167139.pdf,"Notwithstanding the foregoing, so long as no event of default under the Mortgage Loan is continuing, the Borrowers will not be required to remit the portion of the Monthly FF&E Reserve Amount allocable to any Property if (i) an unaffiliated approved franchisor or unaffiliated approved property manager for such Property is maintaining a FF&E reserve for such Property that contains an amount no less than the amount required to be maintained in the FF&E Reserve Account that is allocable to such Property; and during the continuation of a Cash Sweep Period, provided no event of default under the Mortgage Loan is continuing, an excess cash reserve for all remaining excess cash flow amounts to be held as additional collateral.",Loan default,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"The money is required to be swept daily into a cash management account with Wells Fargo Bank, N.A. (or a successor eligible institution) that is an eligible account; however, so long as no Trigger Period is continuing, funds will be swept from such cash management account to Borrower’s operating account, and the Borrower will thereafter have access to such funds.",Unspecified,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"During the continuance of a Trigger Period, funds in the cash management account will no longer be swept to the Borrower’s operating account, and such funds will be disbursed in accordance with the Mortgage Loan Agreement and the cash management agreement, as described in “Description of the Mortgage Loan—Cash Management”.",Unspecified,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"During the continuance of any Trigger Period, on each Payment Date, except during the continuance of a Mortgage Loan Event of Default, all funds on deposit in the cash management account will be applied in the following order of priority: (i) to fund the next monthly deposit into the tax reserve as described in “Description of the Mortgage Loan—Reserve Accounts—Tax Account “; (ii) to fund the next monthly deposit into the insurance reserve as described in “Description of the Mortgage Loan—Reserve Accounts—Insurance Account”; (iii) to pay the next monthly debt service payment with respect to the Mortgage Loan; (iv) to the Mortgage Lender to pay amounts then due and payable under the Mortgage Loan Documents; (v) the payment of operating expenses set forth in the approved annual budget; (vi) to pay for extraordinary operating expenses not set forth in the approved annual budget for the applicable period, but approved by the Mortgage Lender, as described in “Description of the Mortgage Loan—Cash Management”; (vii) to fund the next monthly deposit into the capital expenditure account as described in “Description of the Mortgage Loan—Reserve Accounts—Capital Expenditure Account”; (viii) to fund the next monthly deposit into the rollover reserve account as described in “Description of the Mortgage Loan—Reserve Accounts—Rollover Reserve Account”; (ix) to pay the next monthly debt service payment with respect to the Mezzanine Loan; and (x) all remaining amounts will be deposited into a cash collateral reserve and be held and applied as described in “Description of the Mortgage Loan—Reserve Accounts—Cash Collateral Account”.",Loan default,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"Any funds remaining in the reserve accounts established for taxes, insurance, capital expenditures, lease rollovers and cash collateral are required to be returned to the Borrower when any Trigger Period ends.",Unspecified,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"Upon the occurrence and during the continuance of a Mortgage Loan Event of Default, the lender may apply any amounts then on deposit in the cash management account to the payment of the indebtedness in any order and in such manner as the lender determines in its sole and absolute discretion.",Loan default,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,A “Trigger Period” will commence upon the occurrence or commencement of (i) a Mortgage Loan Event of Default; (ii) a Low Debt Yield Trigger Period or (iii) an event of default under the Mezzanine Loan.,Loan default,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,A “Trigger Period” will commence upon the occurrence or commencement of (i) a Mortgage Loan Event of Default; (ii) a Low Debt Yield Trigger Period or (iii) an event of default under the Mezzanine Loan.,Debt yield fall,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,A “Trigger Period” will commence upon the occurrence or commencement of (i) a Mortgage Loan Event of Default; (ii) a Low Debt Yield Trigger Period or (iii) an event of default under the Mezzanine Loan.,Mezzanine default,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"The Trigger Period will end (a) with respect to a Trigger Period under clause (i), when the Mortgage Loan Event of Default has been cured or waived and no other Mortgage Loan Event of Default is continuing; (b) with respect to a Trigger Period under clause (ii), when the Low Debt Yield Trigger has ended and (c) with respect to a Trigger Period under clause (iii), the Mortgage Lender receives a revocation notice from the Mezzanine Lender that the event of default under the Mezzanine Loan has been cured.",Loan default,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"The Trigger Period will end (a) with respect to a Trigger Period under clause (i), when the Mortgage Loan Event of Default has been cured or waived and no other Mortgage Loan Event of Default is continuing; (b) with respect to a Trigger Period under clause (ii), when the Low Debt Yield Trigger has ended and (c) with respect to a Trigger Period under clause (iii), the Mortgage Lender receives a revocation notice from the Mezzanine Lender that the event of default under the Mezzanine Loan has been cured.",Debt yield fall,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"The Trigger Period will end (a) with respect to a Trigger Period under clause (i), when the Mortgage Loan Event of Default has been cured or waived and no other Mortgage Loan Event of Default is continuing; (b) with respect to a Trigger Period under clause (ii), when the Low Debt Yield Trigger has ended and (c) with respect to a Trigger Period under clause (iii), the Mortgage Lender receives a revocation notice from the Mezzanine Lender that the event of default under the Mezzanine Loan has been cured.",Mezzanine default,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"A “Low Debt Yield Trigger Period” will commence if, as of any quarterly calculation date, the mortgage-only debt yield is less than 5.86% or the mortgage and mezzanine loan aggregate debt yield is less than 5.25%, and will end if the mortgage-only debt yield is equal to or in excess of 5.86% and the mortgage and mezzanine loan aggregate debt yield is equal to or in excess of 5.25% on any subsequent calculation date; provided, however, that a Low Debt Yield Trigger Period will be deemed not to exist as of such calculation date if the Borrower delivers certain collateral to the lender as described in “Description of the Mortgage Loan—Cash Management”.",Debt yield fall,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"A “Low Debt Yield Trigger Period” will commence if, as of any quarterly calculation date, the mortgage-only debt yield is less than 5.86% or the mortgage and mezzanine loan aggregate debt yield is less than 5.25%, and will end if the mortgage-only debt yield is equal to or in excess of 5.86% and the mortgage and mezzanine loan aggregate debt yield is equal to or in excess of 5.25% on any subsequent calculation date; provided, however, that a Low Debt Yield Trigger Period will be deemed not to exist as of such calculation date if the Borrower delivers certain collateral to the lender as described in “Description of the Mortgage Loan—Cash Management”.",Aggregate debt yield,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"Under the terms of the Mortgage Loan Documents, the Borrower is required to maintain the following reserve accounts (collectively, the “Reserve Accounts”) with the deposit bank: an account for the purpose of depositing, during the continuance of a Trigger Period, a monthly amount equal to the taxes that the lender estimates will be payable during the next ensuing 12 months with respect to the Mortgaged Property in order to accumulate sufficient funds to pay all such taxes 30 days before they become delinquent, as described in “Description of the Mortgage Loan—Reserve Accounts—Tax Account”; an account for the purpose of depositing, during the continuance of a Trigger Period, a monthly amount sufficient to accumulate the funds required to pay projected annual insurance premiums (unless certain blanket policies are in effect) 30 days prior to the expiration of the related insurance policies, as described in “Description of the Mortgage Loan—Reserve Accounts—Insurance Account”; an account for the purpose of reserving, during the continuance of a Trigger Period, amounts to pay for capital expenditures in a monthly amount equal to $21,001.68, as described in “Description of the Mortgage Loan—Reserve Accounts—Capital Expenditure Account”; an account for the purpose of reserving, during the continuance of a Trigger Period, amounts to pay for tenant improvements and leasing commissions in a monthly amount equal to $105,008.42, as described in “Description of the Mortgage Loan—Reserve Accounts—Rollover Reserve Account”; an account for the purpose of voluntarily reserving amounts to pay for free and abated rent under certain leases for the purpose of calculating underwritten net cash flow, as described in “Description of the Mortgage Loan—Reserve Accounts—Free Rent Account”; an account into which all insurance proceeds or awards due to any casualty or condemnation will be deposited and held, disbursed and/or applied in accordance with the Mortgage Loan Agreement, as described in “Description of the Mortgage Loan—Reserve Accounts—Casualty and Condemnation Account”; and an account for the purpose of reserving during a Trigger Period, excess cash flow relating to the Mortgage Loan to be held as additional security for the Mortgage Loan, as described in “Description of the Mortgage Loan—Reserve Accounts—Cash Collateral Account”.",Unspecified,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"Each reserve account must be an eligible account and may be invested in permitted investments as directed by the Borrower, or during a Mortgage Loan Event of Default, the lender.",Loan default,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"However, so long as no Trigger Period is continuing, funds in the Cash Management Account will then be swept on each business day into the Borrower’s operating account, and the Borrower will thereafter have full access to such funds.",Unspecified,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"Upon the occurrence and during the continuance of a Trigger Period, the funds in the Cash Management Account will be applied and disbursed in accordance with the Mortgage Loan Agreement and related cash management agreement.",Unspecified,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"Upon the discontinuance of a Trigger Period, the Mortgage Lender is required to again sweep funds in the Cash Management Account to the Borrower’s operating account as described above.",Unspecified,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"“Low Debt Yield Avoidance Amount” means, at any point in time, the amount by which the Mortgage Loan would need to be reduced in order for the Mortgage Loan Debt Yield to equal 5.86% and the Aggregate Debt Yield to equal 5.25%.",Debt yield fall,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"“Low Debt Yield Avoidance Amount” means, at any point in time, the amount by which the Mortgage Loan would need to be reduced in order for the Mortgage Loan Debt Yield to equal 5.86% and the Aggregate Debt Yield to equal 5.25%.",Aggregate debt yield fall,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"A “Low Debt Yield Trigger Period” will commence if, as of any quarterly calculation date, the Mortgage Loan Debt Yield is less than 5.86% or the Aggregate Debt Yield is less than 5.25%, and will end if the Mortgage Loan Debt Yield is equal to or in excess of 5.86% and the Aggregate Debt Yield is equal to or in excess of 5.25% on any subsequent calculation date; provided, however, that a Low Debt Yield Trigger Period will be deemed not to exist as of such calculation date if, not later than 15 business days after the Borrower’s receipt of notice from the Mortgage Lender that a Low Debt Yield Trigger Period has commenced, the Borrower delivers to the Mortgage Lender as additional collateral for the Mortgage Loan, either cash, or a letter of credit or a Collateral Support Guaranty in lieu of cash (in each case, the “Low Debt Yield Avoidance Collateral”) in an amount equal to the Low Debt Yield Avoidance Amount.",Debt yield fall,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"A “Low Debt Yield Trigger Period” will commence if, as of any quarterly calculation date, the Mortgage Loan Debt Yield is less than 5.86% or the Aggregate Debt Yield is less than 5.25%, and will end if the Mortgage Loan Debt Yield is equal to or in excess of 5.86% and the Aggregate Debt Yield is equal to or in excess of 5.25% on any subsequent calculation date; provided, however, that a Low Debt Yield Trigger Period will be deemed not to exist as of such calculation date if, not later than 15 business days after the Borrower’s receipt of notice from the Mortgage Lender that a Low Debt Yield Trigger Period has commenced, the Borrower delivers to the Mortgage Lender as additional collateral for the Mortgage Loan, either cash, or a letter of credit or a Collateral Support Guaranty in lieu of cash (in each case, the “Low Debt Yield Avoidance Collateral”) in an amount equal to the Low Debt Yield Avoidance Amount.",Aggregate debt yield fall,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"If the Borrower so delivers to the Mortgage Lender such Low Debt Yield Avoidance Collateral, then for so long as the Mortgage Lender holds such Low Debt Yield Avoidance Collateral, the Mortgage Loan Debt Yield and the Aggregate Debt Yield will be calculated, solely for purposes of determining whether a subsequent Low Debt Yield Trigger Period exists, with the assumption that the Mortgage has been reduced by the value of the Low Debt Yield Avoidance Collateral.",Debt yield fall,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"If the Borrower so delivers to the Mortgage Lender such Low Debt Yield Avoidance Collateral, then for so long as the Mortgage Lender holds such Low Debt Yield Avoidance Collateral, the Mortgage Loan Debt Yield and the Aggregate Debt Yield will be calculated, solely for purposes of determining whether a subsequent Low Debt Yield Trigger Period exists, with the assumption that the Mortgage has been reduced by the value of the Low Debt Yield Avoidance Collateral.",Aggregate debt yield fall,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"A “Trigger Period” will commence upon the occurrence or commencement of (i) a Mortgage Loan Event of Default; (ii) a Low Debt Yield Trigger Period or (iii) an event of default under the Mezzanine Loan. The Trigger Period will end (a) with respect to a Trigger Period under clause (i), when the Mortgage Loan Event of Default has been cured or waived and no other Mortgage Loan Event of Default is continuing; (b) with respect to a Trigger Period under clause (ii), when the Low Debt Yield Trigger has ended and (c) with respect to a Trigger Period under clause (iii), the Mortgage Lender receives a revocation notice from the Mezzanine Lender that the event of default under the Mezzanine Loan has been cured.",Loan default,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"A “Trigger Period” will commence upon the occurrence or commencement of (i) a Mortgage Loan Event of Default; (ii) a Low Debt Yield Trigger Period or (iii) an event of default under the Mezzanine Loan. The Trigger Period will end (a) with respect to a Trigger Period under clause (i), when the Mortgage Loan Event of Default has been cured or waived and no other Mortgage Loan Event of Default is continuing; (b) with respect to a Trigger Period under clause (ii), when the Low Debt Yield Trigger has ended and (c) with respect to a Trigger Period under clause (iii), the Mortgage Lender receives a revocation notice from the Mezzanine Lender that the event of default under the Mezzanine Loan has been cured.",Debt yield fall,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"A “Trigger Period” will commence upon the occurrence or commencement of (i) a Mortgage Loan Event of Default; (ii) a Low Debt Yield Trigger Period or (iii) an event of default under the Mezzanine Loan. The Trigger Period will end (a) with respect to a Trigger Period under clause (i), when the Mortgage Loan Event of Default has been cured or waived and no other Mortgage Loan Event of Default is continuing; (b) with respect to a Trigger Period under clause (ii), when the Low Debt Yield Trigger has ended and (c) with respect to a Trigger Period under clause (iii), the Mortgage Lender receives a revocation notice from the Mezzanine Lender that the event of default under the Mezzanine Loan has been cured.",Mezzanine default,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"During the continuance of any Trigger Period, on each Payment Date, except during the continuance of a Mortgage Loan Event of Default, all funds deposited into the Cash Management Account will be applied on such Payment Date in the following order of priority: (1) funds sufficient to pay the next monthly deposit to the Tax Account as described in “—Reserve Accounts—Tax Account” above; (2) to the Insurance Account, to make any required payments of Insurance Funds as described in “—Reserve Accounts—Insurance Account” above; (3) to the Mortgage Lender, funds sufficient to pay the Monthly Interest Payment Amount, together with any other amounts then due to the Mortgage Lender for late payment charges and any other amounts due to the Mortgage Lender under the Mortgage Loan Documents including, without limitation, interest at the Default Rate, applied first to the payment of interest computed at the Interest Rate with the remainder applied in the following order (x) to pay late payment charges, and (y) to pay interest at the Default Rate; (4) to the Mortgage Lender, of any other amounts then due and payable under the Mortgage Loan Documents; (5) to the Borrower, funds in an amount equal to the monthly operating expenses set forth in the Approved Annual Budget for the calendar month in which the applicable Payment Date occurs; (6) to the Borrower, payments for extraordinary operating expenses, if any; (7) to the Capital Expenditure Account, to make the required payments of Capital Expenditure Funds as described in “—Reserve Accounts—Capital Expenditure Account” above; (8) to the Rollover Reserve Account, to make the required payments of Rollover Reserve Funds as described in “—Reserve Accounts—Rollover Reserve Account” above; (9) unless a Mortgage Loan Event of Default has occurred and is continuing, to an account for the benefit of the Mezzanine Lender funds in an amount equal to the monthly debt service payment under the Mezzanine Loan (calculated at the regular, non-default interest rate) due and owing on the next Payment Date; and (10) lastly, all remaining amounts (the “Available Cash”) will be deposited into the Cash Collateral Account and held and applied as described in “—Reserve Accounts—Cash Collateral Account” above.",Loan default,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"Upon the occurrence and during the continuance of a Mortgage Loan Event of Default, the Mortgage Lender may, in addition to any and all other rights and remedies available to the Mortgage Lender with respect to the Mortgage Loan, apply any amounts then on deposit in the related Cash Management Account to the payment of the related indebtedness in any order, proportion and priority as the Mortgage Lender may determine in its sole and absolute discretion; provided, that notwithstanding the continuance of a Mortgage Loan Event of Default, if the indebtedness has not been accelerated, the Mortgage Lender will continue to make disbursements from the applicable reserve funds for taxes and insurance premiums.",Loan default,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,The Mortgage Loan is structured with a hard lockbox and springing cash management during a Trigger Period (as defined herein).,Unspecified,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"If no Trigger Period exists, such funds will be disbursed to or as directed by the Borrower, or if a Trigger Period exists, such funds will be applied and disbursed in accordance with the Mortgage Loan documents.",Unspecified,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"During a Trigger Period, all excess cash after payment of the monthly debt service on the Mortgage Loan and the Mezzanine Loan, all required reserves and budgeted operating expenses will be reserved as additional collateral for the Mortgage Loan.",Unspecified,0
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"A “Trigger Period” will be continuing (i) during an uncured, unwaived event of default under the Mortgage Loan documents or (ii) when the debt yield (as calculated under the Mortgage Loan documents) as of any fiscal quarter is less than 5.25% with respect to the Total Debt or 5.86% with respect to the Mortgage Loan until the debt yield equals or exceeds 5.25% (with respect to the Total Debt) or 5.86% (with respect to the Mortgage Loan) on any subsequent quarterly calculation date (a “Low Debt Yield Trigger Period”).",Loan default,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"A “Trigger Period” will be continuing (i) during an uncured, unwaived event of default under the Mortgage Loan documents or (ii) when the debt yield (as calculated under the Mortgage Loan documents) as of any fiscal quarter is less than 5.25% with respect to the Total Debt or 5.86% with respect to the Mortgage Loan until the debt yield equals or exceeds 5.25% (with respect to the Total Debt) or 5.86% (with respect to the Mortgage Loan) on any subsequent quarterly calculation date (a “Low Debt Yield Trigger Period”).",Debt yield fall,1
20171019_02EFSE_Prospectus_SD000000002376978886.pdf,"A “Trigger Period” will be continuing (i) during an uncured, unwaived event of default under the Mortgage Loan documents or (ii) when the debt yield (as calculated under the Mortgage Loan documents) as of any fiscal quarter is less than 5.25% with respect to the Total Debt or 5.86% with respect to the Mortgage Loan until the debt yield equals or exceeds 5.25% (with respect to the Total Debt) or 5.86% (with respect to the Mortgage Loan) on any subsequent quarterly calculation date (a “Low Debt Yield Trigger Period”).",Aggregate debt yield fall,1
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,"Following the occurrence and during the continuation of a Cash Sweep Period, the Borrower is required to establish and maintain a separate eligible account (the “Cash Management Account”) for the benefit of the Mortgage Lender.",Unspecified,0
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,"During the continuance of a Mortgage Loan Event of Default, the Mortgage Lender is required to apply all funds on deposit in the Cash Management Account for the payment of the indebtedness under the Mortgage Loan documents as described in “Description of the Mortgage Loan—Cash Management.”",Loan default,0
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,"“Cash Sweep Cure Date” means the first date following the occurrence of a Cash Sweep Event on which (i) with respect to a Cash Sweep Event caused by a Debt Yield Trigger Event, a Debt Yield Trigger Event Cure has taken place, (ii) with respect to a Cash Sweep Event caused by a Mortgage Loan Event of Default, no such Mortgage Loan Event of Default is continuing, (iii) with respect to a Cash Sweep Event caused by a Mezzanine Loan Event of Default, no such Mezzanine Loan Event of Default is continuing or (iv) with respect to a Cash Sweep Event as a result of a bankruptcy or insolvency event with respect to the Borrower, if the bankruptcy or insolvency event was an involuntary action not consented to by the Borrower or any SPE Constituent Entity, such action being discharged, stayed or dismissed within 90 days of its filing.",Loan default,1
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,"“Cash Sweep Cure Date” means the first date following the occurrence of a Cash Sweep Event on which (i) with respect to a Cash Sweep Event caused by a Debt Yield Trigger Event, a Debt Yield Trigger Event Cure has taken place, (ii) with respect to a Cash Sweep Event caused by a Mortgage Loan Event of Default, no such Mortgage Loan Event of Default is continuing, (iii) with respect to a Cash Sweep Event caused by a Mezzanine Loan Event of Default, no such Mezzanine Loan Event of Default is continuing or (iv) with respect to a Cash Sweep Event as a result of a bankruptcy or insolvency event with respect to the Borrower, if the bankruptcy or insolvency event was an involuntary action not consented to by the Borrower or any SPE Constituent Entity, such action being discharged, stayed or dismissed within 90 days of its filing.",Debt yield fall,1
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,"“Cash Sweep Cure Date” means the first date following the occurrence of a Cash Sweep Event on which (i) with respect to a Cash Sweep Event caused by a Debt Yield Trigger Event, a Debt Yield Trigger Event Cure has taken place, (ii) with respect to a Cash Sweep Event caused by a Mortgage Loan Event of Default, no such Mortgage Loan Event of Default is continuing, (iii) with respect to a Cash Sweep Event caused by a Mezzanine Loan Event of Default, no such Mezzanine Loan Event of Default is continuing or (iv) with respect to a Cash Sweep Event as a result of a bankruptcy or insolvency event with respect to the Borrower, if the bankruptcy or insolvency event was an involuntary action not consented to by the Borrower or any SPE Constituent Entity, such action being discharged, stayed or dismissed within 90 days of its filing.",Mezzanine default,1
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,"“Cash Sweep Cure Date” means the first date following the occurrence of a Cash Sweep Event on which (i) with respect to a Cash Sweep Event caused by a Debt Yield Trigger Event, a Debt Yield Trigger Event Cure has taken place, (ii) with respect to a Cash Sweep Event caused by a Mortgage Loan Event of Default, no such Mortgage Loan Event of Default is continuing, (iii) with respect to a Cash Sweep Event caused by a Mezzanine Loan Event of Default, no such Mezzanine Loan Event of Default is continuing or (iv) with respect to a Cash Sweep Event as a result of a bankruptcy or insolvency event with respect to the Borrower, if the bankruptcy or insolvency event was an involuntary action not consented to by the Borrower or any SPE Constituent Entity, such action being discharged, stayed or dismissed within 90 days of its filing.",Bankruptcy,1
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,"“Cash Sweep Event” means the occurrence of (i) a Mortgage Loan Event of Default or a Mezzanine Loan Event of Default, (ii) certain bankruptcy or insolvency events with respect to the Borrower or (iii) a Debt Yield Trigger Event.",Loan default,1
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,"“Cash Sweep Event” means the occurrence of (i) a Mortgage Loan Event of Default or a Mezzanine Loan Event of Default, (ii) certain bankruptcy or insolvency events with respect to the Borrower or (iii) a Debt Yield Trigger Event.",Debt yield fall,1
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,"“Cash Sweep Event” means the occurrence of (i) a Mortgage Loan Event of Default or a Mezzanine Loan Event of Default, (ii) certain bankruptcy or insolvency events with respect to the Borrower or (iii) a Debt Yield Trigger Event.",Mezzanine default,1
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,"“Cash Sweep Event” means the occurrence of (i) a Mortgage Loan Event of Default or a Mezzanine Loan Event of Default, (ii) certain bankruptcy or insolvency events with respect to the Borrower or (iii) a Debt Yield Trigger Event.",Bankruptcy,1
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,“Cash Sweep Period” means a period commencing on the occurrence of a Cash Sweep Event and terminating on the Cash Sweep Cure Date.,Unspecified,0
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,"“Debt Yield Trigger Event” means that, as of any Debt Yield Determination Date, the Debt Yield is less than (i) 6.75% for the two consecutive calendar quarters immediately preceding such Debt Yield Determination Date for the initial term of the Mortgage Loan and (ii) 7.00% for the two consecutive calendar quarters immediately preceding such Debt Yield Determination Date for the first, second and third Extension Terms and (iii) 7.25% for the two consecutive calendar quarters immediately preceding such Debt Yield Determination Date for the fourth and fifth Extension Terms.",Debt yield fall,0
20180125_02FE6L_Prospectus_SD000000002394837596.pdf,"“Debt Yield Trigger Event Cure” means (i) that the Debt Yield, as determined as of the first day of each of two consecutive calendar quarters following the occurrence of the applicable Debt Yield Trigger Event is not less than (I) 6.75% for the initial term of the Mortgage Loan, (II) 7.00% for the first, second and third extension terms of the Mortgage Loan and (III) 7.25% for the fourth and fifth extension terms or (ii) the Borrower prepays the Mortgage Loan, together with a simultaneous pro rata prepayment by each Mezzanine Borrower of their respective Mezzanine Loan pursuant to the terms of the applicable Mezzanine Loan Agreement, in an amount sufficient, when aggregated with such prepayment made by such Mezzanine Borrower, such that the Debt Yield is not less than (I) 6.75% for the initial term of the Mortgage Loan, (II) 7.00% for the first, second and third extension terms of the Mortgage Loan and (III) 7.25% for the fourth and fifth extension terms of the Mortgage Loan (provided that in the event of such a prepayment pursuant to this clause (ii), the Debt Yield Trigger Period arising from the Debt Yield Trigger Event will cease upon such prepayment without any obligation to wait two consecutive calendar quarters.",Debt yield fall,0
